Species_Scenario	mean	std
11	0.69	0.255
12	0.69	0.255
13	0.74	0.22
14	0.64	0.28
21	0.71	0.28
22	0.71	0.28
23	0.71	0.28
24	0.71	0.28
31	0.36	0.32
32	0.49	0.32
33	0.35	0.32
34	0.34	0.32
91	0.85	0.2
92	0.85	0.2
93	0.85	0.2
94	0.84	0.2
101	0.41	0.38
102	0.49	0.38
103	0.41	0.31
104	0.35	0.33
81	0.31	0.24
82	0.29	0.225
83	0.31	0.235
84	0.28	0.225
41	0.57	0.245
42	0.57	0.245
43	0.57	0.245
44	0.55	0.245
51	0.42	0.365
52	0.35	0.355
53	0.45	0.315
54	0.5	0.365
61	0.4	0.345
62	0.48	0.345
63	0.37	0.285
64	0.34	0.285
71	0.5	0.395
72	0.55	0.395
73	0.5	0.395
74	0.7	0.295
111	0.64	0.32
112	0.7	0.3
113	0.62	0.34
114	0.62	0.34
121	0.52	0.345
122	0.54	0.375
123	0.66	0.32
124	0.58	0.315
131	0.71	0.29
132	0.67	0.275
133	0.73	0.275
134	0.76	0.25
141	0.76	0.305
142	0.76	0.305
143	0.76	0.305
144	0.76	0.305
151	0.52	0.195
152	0.5	0.18
153	0.52	0.18
154	0.57	0.19
161	0.53	0.33
162	0.45	0.29
163	0.67	0.29
164	0.61	0.26
171	0.61	0.36
172	0.38	0.22
173	0.56	0.33
174	0.61	0.275
181	0.7	0.25
182	0.7	0.25
183	0.75	0.225
184	0.76	0.225
191	0.65	0.29
192	0.75	0.255
193	0.69	0.255
194	0.72	0.245
201	0.34	0.265
202	0.45	0.275
203	0.4	0.275
204	0.34	0.23
