Species_Scenario	mean	std
11	0.6	0.2
12	0.5	0.2
13	0.6	0.2
14	0.5	0.2
21	0.4	0.2
22	0.5	0.2
23	0.5	0.2
24	0.5	0.2
31	0.2	0.15
32	0.2	0.15
33	0.2	0.15
34	0.2	0.15
41	0.7	0.2
42	0.6	0.2
43	0.6	0.2
44	0.6	0.2
51	0.15	0.1
52	0.15	0.1
53	0.15	0.1
54	0.15	0.1
61	0.4	0.2
62	0.7	0.16
63	0.4	0.16
64	0.4	0.16
71	0.5	0.2
72	0.5	0.2
73	0.5	0.2
74	0.5	0.2
81	0.4	0.2
82	0.3	0.2
83	0.3	0.2
84	0.3	0.2
91	0.25	0.15
92	0.3	0.15
93	0.3	0.15
94	0.3	0.15
101	0.4	0.2
102	0.35	0.2
103	0.35	0.2
104	0.35	0.2
111	0.3	0.2
112	0.3	0.2
113	0.3	0.2
114	0.3	0.2
121	0.75	0.165
122	0.75	0.165
123	0.75	0.165
124	0.75	0.165
131	0.5	0.2
132	0.55	0.2
133	0.45	0.2
134	0.45	0.2
141	0.4	0.2
142	0.4	0.2
143	0.4	0.2
144	0.4	0.2
151	0.5	0.2
152	0.5	0.2
153	0.4	0.2
154	0.4	0.2
161	0.35	0.175
162	0.35	0.175
163	0.3	0.175
164	0.3	0.175
171	0.33	0.2
172	0.33	0.2
173	0.3	0.2
174	0.3	0.2
181	0.35	0.2
182	0.4	0.2
183	0.4	0.2
184	0.4	0.2
191	0.5	0.2
192	0.5	0.1
193	0.5	0.1
194	0.5	0.1
201	0.32	0.15
202	0.28	0.15
203	0.28	0.15
204	0.28	0.15
